listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
1259383626429882387,Villa Birdie Acacia Full 3 Bedroom House,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTI1OTM4MzYyNjQyOTg4MjM4Nw%3D%3D/original/ee97cd20-9399-47d1-bbea-eaafdaa4bf47.jpeg,72,653153334,Juan,653293513,Maribel,true,18.6661,-68.4238,8,3,4,3.0,false,"Pool,Hair dryer,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Books and reading material,Children’s books and toys,Board games,Air conditioning,Ceiling fan,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Barbecue utensils,Dining table,Coffee,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Free parking on premises,Free street parking,Pool,Long term stays allowed,Cleaning before checkout",,false,,Flexible,DOP,0,0,9,5.0,5.0,5.0,4.9,5.0,5.0,5.0,7594.0,447431.0,186.5,10990.1,0.107,0.108,20.8,1225.8,21.0,1236.0,39,3,326,365,7594.0,447431.0,189.7,11178.2,0.433,0.448,84.4,4971.5,87.3,5142.9,39,3,51,90
1261027429253150994,Charming Villa in the Caribbean,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-1261027429253150994/original/9b4dba53-d4d6-4788-9f6c-c95434c5be7e.jpeg,38,10842246,Claudia,"","",false,18.6169,-68.4620,4,2,3,1.0,false,"Hair dryer,Cleaning products,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Air conditioning,Ceiling fan,Portable fans,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Coffee,Backyard,Outdoor furniture,Free parking on premises,Pool,Single level home",,false,,Moderate,DOP,46,0,14,4.64,4.6,4.7,4.6,4.6,4.4,4.7,1663.0,97982.0,55.2,3254.2,0.077,0.0,4.2,246.2,0.0,0.0,28,0,337,365,1663.0,97982.0,55.2,3250.4,0.311,0.0,16.9,998.4,0.0,0.0,28,0,62,90
1261484445866689804,"Luxury Stay: Beach, Golf, Pool, Casino & Spa",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTIyMzQzMDk2NzY3NDk4Nzk3Mw%3D%3D/original/98515a01-9190-4abf-beec-cfb8a96d6caa.jpeg,88,106948777,Donald,"","",false,18.7289,-68.4883,4,2,3,2.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Ceiling fan,Pets allowed,Gym,Resort access,Elevator,Hot tub,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Blender,Room-darkening shades,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Exercise equipment,Patio or balcony,Beach essentials,Long term stays allowed,Sun loungers,Toaster",,false,,Flexible,DOP,0,0,3,3.67,3.7,3.7,3.7,3.7,4.7,3.7,4375.0,257766.0,121.1,7241.7,0.099,0.109,12.0,706.2,13.2,778.7,36,34,329,365,1035.0,60982.0,126.2,7437.5,0.089,0.143,11.5,677.6,18.5,1089.0,8,34,82,90
1261958533659339028,All-Inclusive Apartments,Entire loft,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-1261958533659339028/original/f38cf042-7ad5-4401-a24d-d17cd47e61a2.jpeg,55,561653721,Yohandi,"","",false,18.6012,-68.4137,5,2,3,1.0,false,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Children’s dinnerware,Board games,Outdoor playground,Air conditioning,Portable fans,Smoke alarm,First aid kit,Wifi,Kitchen,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Trash compactor,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Pool,Elevator,Pets allowed,Luggage dropoff allowed,Cleaning before checkout",,false,,Flexible,DOP,25,0,37,4.7,4.8,4.8,4.7,4.8,4.7,4.7,2556.0,150601.0,52.3,3083.6,0.129,0.0,6.5,380.3,0.0,0.0,47,0,318,365,2556.0,150601.0,51.1,3013.5,0.522,0.0,26.2,1542.4,0.0,0.0,47,0,43,90
1267735879753993553,Beautiful mini penthouse 20 minutes from PUJ airport,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-1267735879753993553/original/c8d0af2d-7d46-474a-a06c-0e89d71c54d8.jpeg,18,657200748,Juan Bautista,"","",false,18.5641,-68.3824,6,2,3,2.0,false,"Shampoo,Conditioner,Hot water,Washer,TV,Air conditioning,Smoke alarm,First aid kit,Wifi,Kitchen,Outdoor dining area,BBQ grill,Free parking on premises,Pool,Hot tub,Pets allowed",,false,,Flexible,DOP,20,0,39,4.51,4.6,4.7,4.4,4.7,4.5,4.6,1406.0,82841.0,86.6,5100.3,0.041,0.0,3.7,217.3,0.0,0.0,15,0,350,365,1406.0,82841.0,86.6,5101.7,0.167,0.0,15.0,881.2,0.0,0.0,15,0,75,90
1271927806257931671,Golfcar * Private Beach Escape - All-in-One Resort,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-1271927806257931671/original/3a1246ad-83ae-462a-818c-109de8a36703.png,231,554685577,Villa Rent By Playa Palmera,476351750,The Playa Palmera Resort,false,18.8169,-68.5875,8,4,4,4.5,false,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Clothing storage,TV,Crib,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Coffee,Beach access,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Pool",,false,,Firm,DOP,0,0,5,4.2,4.2,4.0,4.2,4.0,5.0,4.2,27349.0,1611416.0,372.9,22262.9,0.208,0.22,74.9,4414.8,79.0,4657.3,76,19,289,365,9304.0,548182.0,461.0,27161.6,0.233,0.296,103.4,6090.9,131.0,7720.9,21,19,69,90
1274051431894725885,Corales 49 - Ocean View Sanctuary,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1274051431894725885/original/d68f29fc-07ec-471e-98d7-705ee8d426dc.jpeg,48,210372797,Volalto,"","",true,18.5626,-68.3432,16,7,12,7.5,false,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Clothing storage,TV,Babysitter recommendations,Air conditioning,Exterior security cameras on property,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Oven,Coffee maker,Blender,Barbecue utensils,Resort access,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Pool",,false,,Super Strict 60 Days,DOP,0,0,1,,,,,,,,130334.0,7679674.0,2533.4,151362.2,0.142,0.166,357.1,21040.2,415.1,24457.6,52,51,313,365,49755.0,2931509.0,2933.8,172856.2,0.2,0.391,552.8,32572.3,1081.6,63728.5,18,44,72,90
1274584352949318748,Playa Turquesa One-bedroom Haven,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1274584352949318748/original/3ae67491-efd0-48ec-8ddb-fdbf6b90cab3.jpeg,93,658752311,Lionel,"","",false,18.6855,-68.4165,3,1,1,2.0,false,"Washer,Iron,TV,Air conditioning,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker,Wine glasses,Blender,Barbecue utensils,Beach access,BBQ grill,Free parking on premises,Pool",,false,,Firm,DOP,0,0,16,4.69,4.8,4.6,4.6,4.9,4.9,4.9,3189.0,187887.0,144.5,8516.1,0.06,0.066,8.7,514.8,9.6,564.2,22,32,343,365,3189.0,187887.0,145.2,8554.8,0.244,0.379,35.4,2087.6,55.0,3239.4,22,32,68,90
1281396648302782545,"New, beautiful and cozy | near the airport",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-1281396648302782545/original/6a4fb16f-255a-4866-b89c-e1892237ea2e.jpeg,36,598993569,Emilio,521442737,Lic. Emilio,true,18.6117,-68.4229,6,3,3,2.0,false,"Conditioner,Body soap,Hot water,Washer,Dryer,Hangers,Bed linens,Iron,Clothing storage,Ethernet connection,TV,Sound system,Board games,Outdoor playground,Air conditioning,Portable fans,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Oven,Coffee maker,Wine glasses,Toaster,Blender,Trash compactor,Dining table,Coffee,Patio or balcony,Sun loungers,Free parking on premises,Free street parking,Pool,Elevator,Pets allowed,Long term stays allowed",,false,,Moderate,DOP,40,0,15,4.87,4.9,4.9,4.8,4.9,4.8,4.9,986.0,58091.0,82.0,4831.1,0.03,0.0,2.5,146.2,0.0,0.0,11,0,354,365,986.0,58091.0,81.5,4799.0,0.122,0.0,10.1,593.1,0.0,0.0,11,0,79,90
1282574818775239783,Punta Palmera's First Vacation Residence,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTI4MjU3NDgxODc3NTIzOTc4Mw%3D%3D/original/ed87f584-4ac4-473b-a71b-3007b42f27ac.jpeg,42,660503334,El Grupo Thornberry,"","",true,18.4965,-68.3810,2,1,1,1.0,false,"Hair dryer,Shampoo,Conditioner,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Safe,Clothing storage,TV,Air conditioning,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Waterfront,Beach access,Outdoor furniture,Outdoor dining area,Free parking on premises,Pool,Pets allowed",,false,,Flexible,DOP,65,0,18,5.0,4.8,5.0,4.9,5.0,4.9,4.9,5775.0,340255.0,281.8,16603.8,0.055,0.056,15.5,911.2,15.9,934.3,20,9,345,365,5775.0,340255.0,282.2,16626.8,0.222,0.247,62.7,3695.5,69.7,4106.1,20,9,70,90
